Date,AAPL,ABBV,ABT,ACN,ADBE,AMAT,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK-B,C,CAT,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DUK,EMR,FDX,GD,GE,GEV,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,ISRG,JNJ,JPM,KO,LIN,LLY,LMT,LOW,LRCX,MA,MCD,MDLZ,MDT,META,MMM,MO,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOW,NVDA,ORCL,PEP,PFE,PG,PLTR,PM,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TMO,TMUS,TSLA,TXN,UBER,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
2024-05-23,185.27505493164062,147.8942413330078,100.13597869873047,296.5741882324219,483.30999755859375,214.3377227783203,160.42999267578125,288.25738525390625,174.19436645507812,181.0500030517578,136.5399169921875,230.41156005859375,172.2100067138672,37.38493347167969,55.82131576538086,147.73150634765625,751.3373413085938,37.70965576171875,405.8800048828125,59.606449127197266,341.3995056152344,89.49222564697266,33.600929260253906,133.6301727294922,110.42961120605469,787.8092041015625,274.8979797363281,44.223426818847656,51.31415939331055,144.08706665039062,368.8561096191406,258.3831481933594,98.6645736694336,94.77722930908203,108.7397232055664,238.86863708496094,285.2216796875,163.2990264892578,161.0719451904297,62.123870849609375,42.862056732177734,173.63446044921875,172.12738037109375,439.16326904296875,311.0954284667969,180.1251983642578,161.522705078125,29.8903865814209,652.680419921875,398.3900146484375,142.2557373046875,188.7850341796875,58.5885009765625,421.2476806640625,797.3143310546875,443.0398864746094,209.33468627929688,94.07699584960938,445.9366760253906,246.11268615722656,64.81441497802734,76.29510498046875,462.6436462402344,95.70189666748047,39.432315826416016,122.85369873046875,93.597900390625,420.3931884765625,125.39046478271484,71.13941192626953,63.56700134277344,87.52884674072266,151.6300048828125,103.74047088623047,121.50045776367188,166.81683349609375,25.13545036315918,157.02394104003906,20.719999313354492,92.10472869873047,193.26829528808594,101.62239074707031,74.44110107421875,70.44541931152344,72.27849578857422,131.14837646484375,15.909876823425293,581.1943969726562,159.9429168701172,173.74000549316406,186.4379119873047,63.599998474121094,494.74395751953125,222.3498992919922,123.13350677490234,36.672569274902344,270.11724853515625,34.608245849609375,57.027870178222656,63.64876174926758,106.29700469970703
2024-05-24,188.3484344482422,146.77281188964844,99.8669662475586,291.7852478027344,475.42999267578125,217.22900390625,166.36000061035156,287.63665771484375,173.56886291503906,180.75,137.96578979492188,233.07322692871094,174.52000427246094,37.890785217285156,56.54862976074219,149.41131591796875,748.7994995117188,37.43732452392578,407.4100036621094,60.13611602783203,339.6471862792969,89.0816650390625,33.47931671142578,133.75650024414062,110.05415344238281,801.0558471679688,268.7007141113281,44.05260467529297,51.21272659301758,144.8307342529297,364.6932373046875,259.7472229003906,99.74276733398438,95.13105010986328,109.63871765136719,237.23971557617188,288.2035827636719,165.34446716308594,176.7736358642578,61.66383361816406,43.234519958496094,174.89414978027344,173.55557250976562,442.0677185058594,309.391845703125,180.39622497558594,161.73092651367188,30.526351928710938,598.2098388671875,404.8500061035156,139.66148376464844,192.41851806640625,58.503570556640625,424.4341125488281,796.3084106445312,443.29595947265625,207.14971923828125,95.29845428466797,445.9070129394531,246.28443908691406,64.2966537475586,77.14825439453125,474.9998474121094,95.85575866699219,39.302711486816406,121.35423278808594,93.64520263671875,423.5043029785156,128.58802795410156,72.35781860351562,64.67500305175781,87.86400604248047,147.70199584960938,106.4089584350586,120.34507751464844,165.62574768066406,25.301908493041992,156.8721160888672,21.010000228881836,92.36354064941406,201.50631713867188,102.45148468017578,74.97341918945312,70.37725830078125,72.82173156738281,134.06759643554688,15.937199592590332,580.220703125,160.9415283203125,179.24000549316406,188.2239532470703,64.26000213623047,486.4539794921875,221.71925354003906,122.74400329589844,37.1399040222168,270.37335205078125,34.880340576171875,57.5343132019043,64.17884063720703,106.21271514892578
2024-05-28,188.3583526611328,145.16551208496094,97.9455337524414,288.6249694824219,478.42999267578125,217.65188598632812,171.61000061035156,282.32293701171875,172.72874450683594,182.14999389648438,138.4175567626953,232.16319274902344,175.0800018310547,37.52810287475586,55.73518753051758,149.20542907714844,738.7536010742188,36.756473541259766,403.8999938964844,59.067325592041016,337.2816162109375,87.78315734863281,33.47931671142578,132.78457641601562,111.6592025756836,804.458984375,266.27313232421875,43.91975021362305,49.451541900634766,146.0150909423828,359.1590881347656,255.72418212890625,100.40928649902344,94.20926666259766,108.31439208984375,237.67091369628906,286.01043701171875,166.5598602294922,177.4311981201172,60.03023147583008,42.23476028442383,176.5703582763672,174.95401000976562,440.75445556640625,312.81787109375,179.9355010986328,160.5668487548828,30.86421012878418,591.3406372070312,401.0299987792969,137.20028686523438,191.25848388671875,58.33372497558594,418.9285583496094,796.732421875,434.88250732421875,207.3037109375,95.36620330810547,439.8782958984375,241.92385864257812,63.60945129394531,76.8763656616211,476.6883850097656,94.90365600585938,39.29407501220703,118.1678466796875,93.3613510131836,423.66180419921875,131.7458953857422,73.22674560546875,64.9000015258789,88.10343170166016,145.77200317382812,113.83676147460938,121.8921127319336,161.33599853515625,24.79376792907715,154.7656707763672,21.049999237060547,92.47444915771484,204.11183166503906,101.72843170166016,73.652099609375,68.93603515625,72.62505340576172,133.4329833984375,15.727740287780762,568.8161010742188,162.21157836914062,176.75,188.620849609375,63.52000045776367,482.1558532714844,218.8145751953125,121.7879409790039,36.44347381591797,266.91595458984375,34.54680633544922,56.83675003051758,63.845096588134766,107.56122589111328
2024-05-29,188.65577697753906,144.65151977539062,96.7734603881836,284.78607177734375,477.6000061035156,215.4194793701172,165.13999938964844,278.7303161621094,172.9994659423828,182.02000427246094,136.28317260742188,230.88125610351562,171.64999389648438,36.955440521240234,55.27583694458008,147.00758361816406,724.5513916015625,36.538612365722656,404.0899963378906,58.651153564453125,329.1433410644531,87.16253662109375,32.95810317993164,131.841796875,108.1769027709961,797.8802490234375,268.03955078125,43.729949951171875,49.48842239379883,144.0503387451172,354.9865417480469,252.9762420654297,98.88020324707031,93.5016098022461,107.22206115722656,234.86341857910156,282.2975158691406,161.65872192382812,176.6640625,59.61713790893555,41.79369354248047,175.95542907714844,174.4580841064453,438.2238464355469,310.1626892089844,178.02935791015625,158.0967559814453,29.94007110595703,589.6259765625,398.3999938964844,137.25732421875,189.9259033203125,58.220489501953125,415.2841491699219,800.3519287109375,429.4189758300781,206.24493408203125,93.59686279296875,437.29888916015625,237.94491577148438,63.006961822509766,76.39823150634766,471.16583251953125,93.82650756835938,39.00896453857422,117.9897689819336,92.03668212890625,422.5296630859375,130.66348266601562,72.42391967773438,65.46199798583984,87.78739929199219,146.2239990234375,114.7602310180664,121.15775299072266,159.26087951660156,24.37323570251465,153.38035583496094,20.940000534057617,92.05851745605469,199.4946746826172,100.81257629394531,73.08173370361328,68.6828384399414,72.30658721923828,133.36045837402344,15.59113597869873,563.5806274414062,163.73374938964844,176.19000244140625,184.18882751464844,64.93000030517578,464.0060729980469,215.8239288330078,118.98181915283203,35.774532318115234,264.8277282714844,34.318603515625,56.13919448852539,63.7273063659668,106.40937042236328
2024-05-30,189.64720153808594,146.07192993164062,97.7437744140625,276.0903625488281,445.8699951171875,212.9510955810547,166.75,283.084716796875,178.09645080566406,179.32000732421875,133.67742919921875,232.13381958007812,172.75,36.869544982910156,55.90744400024414,147.80787658691406,729.6078491210938,36.538612365722656,408.6099853515625,58.57548904418945,330.2531433105469,86.81880950927734,33.7659912109375,132.35694885253906,106.60938262939453,806.605712890625,215.13623046875,43.767906188964844,51.67377471923828,145.2989501953125,358.2642822265625,249.82308959960938,99.68394470214844,94.32098388671875,107.2027359008789,239.1465301513672,284.7984313964844,162.25160217285156,174.43234252929688,60.16167449951172,42.54841232299805,172.14669799804688,170.6991729736328,434.1831970214844,315.4525451660156,181.49835205078125,156.75283813476562,29.99969482421875,554.8265991210938,403.3900146484375,138.05552673339844,191.0955047607422,58.47526550292969,419.1136779785156,803.833251953125,437.21588134765625,207.39035034179688,93.34746551513672,436.9331970214844,240.52117919921875,63.91069030761719,75.5638427734375,463.905029296875,94.44202423095703,39.259517669677734,116.70586395263672,91.99883270263672,408.25396728515625,125.41032409667969,73.85011291503906,64.76599884033203,89.49200439453125,128.6580047607422,110.43767547607422,114.64652252197266,158.63743591308594,24.706159591674805,154.2628173828125,21.729999542236328,91.88290405273438,196.98428344726562,101.92124938964844,74.86884307861328,69.99747467041016,73.13082885742188,134.57528686523438,16.046485900878906,559.0704956054688,165.49830627441406,178.7899932861328,184.91647338867188,64.12000274658203,461.0672912597656,219.03436279296875,121.15060424804688,36.086097717285156,267.23114013671875,35.398189544677734,56.57875061035156,63.69785690307617,106.74649810791016
2024-05-31,190.59893798828125,150.6790313720703,98.17610168457031,273.6571350097656,444.760009765625,211.5153045654297,166.89999389648438,287.6460876464844,182.72669982910156,176.44000244140625,130.1955108642578,234.85421752929688,177.61000061035156,38.167572021484375,57.04627227783203,148.66334533691406,739.3472290039062,37.3011474609375,414.3999938964844,58.934906005859375,329.54248046875,88.75703430175781,34.77366256713867,133.76622009277344,109.3314208984375,801.214111328125,231.3496551513672,44.1285285949707,54.95640182495117,149.0081024169922,364.498779296875,253.83624267578125,101.85014343261719,96.43460845947266,108.42072296142578,243.3434600830078,288.34783935546875,163.1804656982422,175.24928283691406,60.340049743652344,44.09705352783203,172.54342651367188,171.0859832763672,440.2489929199219,320.90521240234375,182.6546630859375,157.90744018554688,30.655534744262695,568.101806640625,402.1199951171875,139.37644958496094,194.2592010498047,59.381126403808594,424.38531494140625,809.0405883789062,446.1321105957031,213.00198364257812,91.55453491210938,441.8450622558594,247.02877807617188,64.51318359375,76.2857437133789,463.6865234375,96.30777740478516,39.95934295654297,117.65238952636719,92.57600402832031,408.70684814453125,124.12931060791016,75.57852935791016,64.16200256347656,91.02425384521484,131.38600158691406,109.5711669921875,114.74444580078125,160.8893280029297,25.109163284301758,156.1225128173828,21.68000030517578,93.70374298095703,196.26295471191406,103.93614959716797,76.25672149658203,71.3608169555664,75.06024169921875,137.17724609375,16.592899322509766,564.256103515625,170.27688598632812,178.0800018310547,184.2833251953125,64.55999755859375,474.2009582519531,223.72369384765625,122.9830093383789,37.15822982788086,268.37371826171875,36.117916107177734,57.2572021484375,64.55186462402344,109.8087158203125
2024-06-03,192.36363220214844,149.6977996826172,98.82939910888672,273.1434020996094,439.0199890136719,210.6597137451172,163.5500030517578,289.1226501464844,183.8749237060547,178.33999633789062,129.54383850097656,231.8011016845703,184.57000732421875,38.062583923339844,57.00798797607422,148.16297912597656,744.4612426757812,37.918453216552734,414.7900085449219,58.56603240966797,322.5723876953125,88.28917694091797,34.38276290893555,133.2705535888672,106.881591796875,806.6551513671875,233.50088500976562,44.27088165283203,55.51887130737305,144.5644989013672,358.04058837890625,258.3634033203125,100.73273468017578,96.2856216430664,105.39507293701172,238.22665405273438,286.8953857421875,159.54412841796875,169.73976135253906,59.55141830444336,44.83216857910156,172.9996795654297,171.75048828125,438.7638854980469,314.3313293457031,182.89857482910156,156.42160034179688,30.099063873291016,559.0150756835938,403.8599853515625,140.3931884765625,193.48263549804688,59.381126403808594,423.22576904296875,819.8101196289062,446.52362060546875,208.61276245117188,91.86776733398438,438.01043701171875,249.45849609375,63.402339935302734,76.98887634277344,474.2747497558594,95.94232177734375,40.218544006347656,120.3514633178711,92.16915893554688,407.12176513671875,127.27722930908203,73.87217712402344,63.37900161743164,90.75507354736328,132.02200317382812,114.93514251708984,116.79082489013672,159.33531188964844,25.678632736206055,156.2268829345703,21.31999969482422,95.16410827636719,198.05194091796875,103.51195526123047,78.02483367919922,70.47464752197266,75.2944107055664,137.44015502929688,16.401655197143555,565.845703125,168.4471893310547,176.2899932861328,183.06431579589844,63.790000915527344,476.1825256347656,219.39950561523438,122.53156280517578,36.406822204589844,266.3249816894531,35.96870040893555,56.70297622680664,64.61076354980469,107.1772689819336
2024-06-04,192.68092346191406,151.5200653076172,99.36740112304688,279.2507019042969,448.3699951171875,208.7027130126953,159.99000549316406,289.0755920410156,187.0862274169922,179.33999633789062,130.41798400878906,232.16319274902344,188.6199951171875,37.8716926574707,56.33808517456055,149.6479034423828,752.0460205078125,37.900291442871094,409.5299987792969,57.724239349365234,318.8829040527344,89.568603515625,34.365379333496094,130.7046661376953,105.3797836303711,818.5266723632812,231.76412963867188,45.00160598754883,55.564979553222656,143.34341430664062,359.2563781738281,260.2908630371094,101.28164672851562,97.39363861083984,103.30709838867188,235.6682891845703,285.9912414550781,159.46505737304688,162.43685913085938,60.23678207397461,44.361690521240234,173.70391845703125,172.36541748046875,439.0724792480469,314.5709228515625,187.2076873779297,156.9231719970703,29.8407039642334,563.7850952148438,406.6099853515625,140.45022583007812,190.9325408935547,60.334171295166016,421.4661865234375,821.1217651367188,447.7554931640625,208.42025756835938,90.60114288330078,439.5719299316406,252.31080627441406,64.09896087646484,78.0670166015625,473.7781066894531,94.83633422851562,40.46045684814453,120.62324523925781,91.38380432128906,409.6322937011719,125.75788879394531,73.33982849121094,63.1619987487793,91.08192443847656,134.39999389648438,116.37133026123047,117.56433868408203,161.810546875,25.836332321166992,158.4661865234375,22.100000381469727,95.9312744140625,196.5707244873047,104.02291870117188,78.69975280761719,70.10459899902344,75.59412384033203,138.22889709472656,16.711292266845703,565.93505859375,173.14791870117188,174.77000427246094,182.66738891601562,64.55000305175781,483.88848876953125,218.7268524169922,120.06180572509766,35.70122528076172,268.3343811035156,36.47777557373047,56.09141159057617,65.37642669677734,105.5103759765625
2024-06-05,194.18783569335938,154.60394287109375,99.17525482177734,282.12017822265625,455.79998779296875,219.66787719726562,166.1699981689453,289.08502197265625,185.01380920410156,181.27999877929688,138.4803009033203,229.65806579589844,189.85000610351562,38.13893508911133,56.35723114013672,150.81629943847656,755.4839477539062,37.43732452392578,409.8500061035156,58.42416000366211,320.7130432128906,89.4253921508789,34.00053024291992,131.67657470703125,105.34224700927734,825.3626708984375,233.41207885742188,43.673004150390625,55.97069549560547,142.28758239746094,360.83197021484375,264.75872802734375,99.4879150390625,96.090087890625,104.67007446289062,237.68051147460938,288.04010009765625,160.62118530273438,162.8852081298828,59.97390365600586,44.71455001831055,175.6281280517578,173.9721221923828,445.22509765625,316.4874572753906,189.05059814453125,158.40902709960938,30.585975646972656,565.9631958007812,417.239990234375,138.7112274169922,189.11102294921875,60.3152961730957,425.3177795410156,820.3032836914062,444.2604675292969,211.25018310546875,95.41136169433594,441.4398498535156,249.68896484375,63.995426177978516,77.16698455810547,491.7264709472656,95.26911163330078,40.32221603393555,121.31674194335938,91.45950317382812,417.4494934082031,132.7786407470703,73.24478149414062,65.0270004272461,90.67813873291016,140.82200622558594,122.3709487915039,120.0709228515625,161.43833923339844,25.888896942138672,157.55528259277344,22.959999084472656,96.1900634765625,203.81333923339844,104.54351043701172,77.15028381347656,72.44175720214844,74.38587951660156,139.1173553466797,16.665754318237305,571.5083618164062,175.44473266601562,175.0,185.29446411132812,65.81999969482422,481.6197814941406,218.5250701904297,121.77911376953125,35.811187744140625,270.3831787109375,36.29345703125,56.072303771972656,65.85742950439453,105.93179321289062
2024-06-06,192.80979919433594,157.52896118164062,100.17440795898438,282.818115234375,458.1300048828125,218.0747528076172,166.77999877929688,287.49560546875,186.22738647460938,185.0,137.32192993164062,228.34678649902344,191.4199981689453,37.890785217285156,57.3333625793457,149.9904022216797,745.5722045898438,37.11051559448242,411.0799865722656,58.5849494934082,319.5837707519531,89.73091125488281,33.93972396850586,132.54159545898438,105.3140869140625,833.6132202148438,239.55995178222656,43.87229537963867,56.191993713378906,143.15980529785156,361.10430908203125,264.8872375488281,99.20366668701172,95.77350616455078,102.43708801269531,239.80770874023438,286.9049987792969,158.71409606933594,159.7169952392578,59.945735931396484,44.70474624633789,176.89768981933594,175.2812957763672,441.772705078125,317.2924499511719,188.30982971191406,159.18508911132812,30.22824478149414,564.36669921875,418.1499938964844,139.1388397216797,188.7754669189453,60.53232955932617,424.1153564453125,825.757080078125,447.4976501464844,210.26837158203125,94.47563934326172,443.4362487792969,250.39002990722656,64.19309997558594,77.19512939453125,490.43524169921875,94.46125793457031,40.33949279785156,122.31952667236328,91.63927459716797,417.9515380859375,129.1640167236328,72.91205596923828,64.85199737548828,92.02409362792969,140.6320037841797,120.92974853515625,120.92276763916016,161.16847229003906,25.23181915283203,159.8514862060547,23.790000915527344,96.3471908569336,201.4472198486328,104.29285430908203,77.4449691772461,72.30541229248047,73.66468048095703,139.41653442382812,16.647544860839844,576.0383911132812,174.95811462402344,177.94000244140625,185.4456787109375,68.9000015258789,480.4710998535156,219.389892578125,121.77025604248047,35.75619888305664,272.88507080078125,36.275901794433594,55.164512634277344,65.91632843017578,106.72777557373047
