date,gross_return,transaction_cost,traded_gross_exposure,portfolio_return
2019-01-31,0.032925248891550574,0.002,2.0,0.030925248891550572
2019-02-28,0.023056354285017854,0.0024000000000000002,2.4000000000000004,0.020656354285017855
2019-03-29,-0.01629609604975462,0.0024,2.4,-0.01869609604975462
2019-04-30,0.0270163713102098,0.003,3.0,0.0240163713102098
2019-05-31,-0.09775163937350434,0.0026000000000000003,2.6,-0.10035163937350434
2019-06-28,-0.008927211574669011,0.0032,3.2,-0.012127211574669011
2019-07-31,0.07239408768956809,0.0028,2.8,0.0695940876895681
2019-08-30,-0.023215242433716858,0.0026000000000000003,2.6,-0.02581524243371686
2019-09-30,-0.042126934186010996,0.0030000000000000005,3.0000000000000004,-0.045126934186011
2019-10-31,0.008643991718042657,0.0032,3.2,0.005443991718042657
2019-11-29,0.011469534972944263,0.0026000000000000007,2.6000000000000005,0.008869534972944262
2019-12-31,0.0928673092853953,0.0028000000000000004,2.8000000000000003,0.0900673092853953
2020-01-31,0.08502324611372797,0.0028000000000000004,2.8000000000000003,0.08222324611372797
2020-02-28,0.16352415756977223,0.0016,1.6,0.16192415756977224
2020-03-31,-0.011020433624616521,0.0018000000000000004,1.8000000000000003,-0.01282043362461652
2020-04-30,0.022051101534699677,0.0026000000000000003,2.6,0.019451101534699675
2020-05-29,0.04687453581860903,0.0024,2.4,0.04447453581860903
2020-06-30,0.06715295714887282,0.0024000000000000002,2.4000000000000004,0.06475295714887282
2020-07-31,0.13452945835002622,0.0026000000000000007,2.6000000000000005,0.13192945835002623
2020-08-31,-0.018955179877306133,0.0024000000000000002,2.4000000000000004,-0.021355179877306132
2020-09-30,0.02792868260596581,0.0030000000000000005,3.0000000000000004,0.02492868260596581
2020-10-30,-0.1022677782253994,0.0030000000000000005,3.0000000000000004,-0.1052677782253994
2020-11-30,0.06317931183710303,0.0034000000000000002,3.4000000000000004,0.05977931183710303
2020-12-31,0.030610888278596267,0.0032,3.2,0.027410888278596265
2021-01-29,-0.08926355247402776,0.0032,3.2,-0.09246355247402775
