date,portfolio_return
2019-01-31,1.0309252488915506
2019-02-28,1.0522204060740246
2019-03-29,1.0325479922965528
2019-04-30,1.0573460482751584
2019-05-31,0.9512396389456498
2019-06-28,0.9397037545859441
2019-07-31,1.0051015800848146
2019-08-30,0.9791546391244133
2019-09-30,0.9349683921667186
2019-10-31,0.9400583523503059
2019-11-29,0.9483962327830852
2019-12-31,1.0338157296062631
2020-01-31,1.1188194147779222
2020-02-28,1.299983305988543
2020-03-31,1.2833169563010074
2020-04-30,1.30827888471922
2020-05-29,1.3664639808383947
2020-06-30,1.4549465644351014
2020-07-31,1.646896876609256
2020-08-31,1.6117270975698916
2020-09-30,1.651905330832646
2020-10-30,1.4780129268171998
2020-11-30,1.5663675224686746
2020-12-31,1.609303047630285
2021-01-29,1.4605011708391094
2021-02-26,1.3068516412896396
2021-03-31,1.2786542972337402
2021-04-30,1.260133665415019
2021-05-28,1.2162419746731645
2021-06-30,1.2809812065348662
2021-07-30,1.348194756873254
2021-08-31,1.2906630524202245
2021-09-30,1.3224888866386564
2021-10-29,1.329426093170564
2021-11-30,1.2514332826898593
2021-12-31,1.2775641647937346
2022-01-31,1.2786393436947596
2022-02-28,1.2701657598691263
2022-03-31,1.3305556383607648
2022-04-29,1.4286591818119296
2022-05-31,1.3874797489691242
2022-06-30,1.1503964107018168
2022-07-29,1.1783575908428698
2022-08-31,1.269657284472781
2022-09-30,1.3844593395331626
2022-10-31,1.3573577350762092
2022-11-30,1.4846690631318091
2022-12-30,1.0415189911915526
2023-01-31,1.083384159974405
2023-02-28,1.019094234653058
2023-03-31,1.1199257348348797
2023-04-28,1.0660931146808665
2023-05-31,1.0834979653795214
2023-06-30,1.0915237155042161
2023-07-31,1.0730828347116215
2023-08-31,1.0761852421184082
2023-09-29,1.0537393977076452
2023-10-31,1.064417074844367
2023-11-30,1.0152180167233957
2023-12-29,1.0683750396883374
2024-01-31,1.2237691427218758
2024-02-29,1.183139996242323
2024-03-28,1.1729147711229844
2024-04-30,1.2308587017316142
2024-05-31,1.2078171431049063
2024-06-28,1.0145795543057776
2024-07-31,1.0584307884569448
2024-08-30,1.0317377627130633
2024-09-30,1.070731065741883
2024-10-31,1.2120365318908304
2024-11-29,1.2648958567464792
2024-12-31,1.2554159380573253
2025-01-31,1.2117359330986723
2025-02-28,1.2430245073226784
2025-03-31,1.328591114572203
2025-04-30,1.4750487575940905
2025-05-30,1.4700253592132726
2025-06-30,1.5427496679033859
2025-07-31,1.3687936997419834
2025-08-29,1.513546659821303
2025-09-30,1.7098499517549022
2025-10-31,1.7211562127351316
2025-11-28,1.6961957904535199
