date,information_coefficient,p_value
2019-01-03,-0.17766769313161063,0.08008266358106099
2019-01-04,-0.14233434704715997,0.16208644720423362
2019-01-07,-0.21116487832246297,0.036869885557476605
2019-01-08,-0.2463324598817971,0.014481938324772403
2019-01-09,-0.1665104654795376,0.10127964122267072
2019-01-10,-0.12931545626685537,0.20441660109366266
2019-01-11,-0.13980962581846232,0.16973974944039882
2019-01-14,-0.09108760655152406,0.3723886970726962
2019-01-15,-0.12927720291490538,0.20455165089089836
2019-01-16,-0.06533034957188123,0.5227430845291696
2019-01-17,-0.07883378281021873,0.440349360332119
2019-01-18,-0.0006184291898577612,0.9951779456490925
2019-01-22,-0.0351357037660425,0.7312456613049567
2019-01-23,0.005017564664103692,0.9608919257285541
2019-01-24,0.07290451325797423,0.47559336016244014
2019-01-25,0.19534074173249427,0.05390786375261913
2019-01-28,0.1422705914605767,0.16227650291222548
2019-01-29,0.178024724416477,0.07946804017098569
2019-01-30,0.1723759794451989,0.08964555289961501
2019-01-31,0.15994364006146036,0.11567440172331883
2019-02-01,0.21275876798704485,0.03543730415460049
2019-02-04,0.267652328035244,0.007712024170491366
2019-02-05,0.2686851685378931,0.007470686080001471
2019-02-06,0.2729950461909224,0.00653405829605374
2019-02-07,0.23312230234174267,0.020882122875628618
2019-02-08,0.15025279090080265,0.13974547710466054
2019-02-11,0.10450178196864497,0.30581237341601053
2019-02-12,0.08689248895434462,0.3948995193756655
2019-02-13,0.17149615235034968,0.09131984257133521
2019-02-14,0.005795382820419639,0.9548353782316622
2019-02-15,0.1467972381079892,0.14918967640065167
2019-02-19,0.2471612825073797,0.014144482935193502
2019-02-20,0.3131228123864353,0.0016933577184832216
2019-02-21,0.29612557300333436,0.003070556129698315
2019-02-22,0.35238350260441564,0.0003729515461864685
2019-02-25,0.37251751684741374,0.0001585252052986362
2019-02-26,0.3594858749497924,0.00027756478895767865
2019-02-27,0.3425141378013248,0.0005559233880581238
2019-02-28,0.3120899718837863,0.0017574751630800751
2019-03-01,0.16566889173663843,0.10304182020599711
2019-03-04,0.17873878698620965,0.07825012016308001
2019-03-05,0.057972954880171366,0.5707028527473372
2019-03-06,-0.07025228085611,0.49183768843732545
2019-03-07,-0.14999776855446958,0.14042660071423302
2019-03-08,-0.09626456018208594,0.34571385994367976
2019-03-11,0.00830735293180065,0.935294972912367
2019-03-12,0.007618792596701285,0.9406479028130874
2019-03-13,-0.06618467443209711,0.517309157336732
2019-03-14,-0.19035505486168222,0.06045698560495837
2019-03-15,-0.08578314174779564,0.4009848939895442
2019-03-18,-0.20183106044667162,0.0462669276506535
2019-03-19,-0.2538428679813068,0.011664663110973153
2019-03-20,-0.29650810652283405,0.0030308582379473497
2019-03-21,-0.3201104246759622,0.0013123420488424296
2019-03-22,-0.38159631237687197,0.00010578887257257135
2019-03-25,-0.3518989601463828,0.00038044867058415133
2019-03-26,-0.23674361965967267,0.018923144424864265
2019-03-27,-0.22385224005253457,0.026705846482741075
2019-03-28,-0.24448354787088217,0.01525999648210386
2019-03-29,-0.19280326938647996,0.057164230207480175
2019-04-01,-0.16170329425115873,0.11167037646822184
2019-04-02,-0.17476043838341332,0.08523010651879244
2019-04-03,-0.2016652959215551,0.046450262837903114
2019-04-04,-0.1167556057099503,0.2522454665189354
2019-04-05,-0.07236896633067472,0.4788499425251289
2019-04-08,-0.052974516892042654,0.6044189720089527
2019-04-09,-0.057513914656771796,0.5737621537660095
2019-04-10,-0.024220747342985925,0.8128651312993296
2019-04-11,0.06545786074504778,0.5219302225642415
2019-04-12,0.1368513666009984,0.17904269345892798
2019-04-15,0.1631186682733074,0.10852854361231803
2019-04-16,0.3031769408794445,0.0024089436750435915
2019-04-17,0.29259351350662094,0.003459742092933878
2019-04-18,0.2429151604409336,0.015948147616111023
2019-04-22,0.20894618390936504,0.038944599598852325
2019-04-23,0.21529624033305916,0.033253209971634584
2019-04-24,0.1613462629662924,0.11247395953792425
2019-04-25,0.1369661266568483,0.178674984104165
2019-04-26,0.28853865819992475,0.003960562208379102
2019-04-29,0.2854018833400276,0.004391425574876918
2019-04-30,0.38793361768324947,7.920275189487577e-05
2019-05-01,0.4013732953350037,4.2029487600486064e-05
2019-05-02,0.35191171126369947,0.0003802496146227824
2019-05-03,0.357432945061811,0.0003025193566776074
2019-05-06,0.464389317113912,1.4594998778083647e-06
2019-05-07,0.48824665761337327,3.3975642283467083e-07
2019-05-08,0.5101913305153364,8.034155628925619e-08
